MA_diff1,MA_diff2,MACD,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
32.83333333,-12.83333333,-9.395215477,-10,8.139373437,1.860626563,-1.751155777,0.18402896,1,1,-1
-15,2,-10.02108519,-6.75,5.554850521,1.195149479,-1.429857453,0.184176207,1,0,-1
-43.33333333,7.333333333,35.47015902,26.25,6.381003969,-32.63100397,1.333718113,0.725261669,-1,0,-1
-10.16666667,5.166666667,44.07054694,1,5.118168219,-6.118168219,0.165229162,0.679362422,-1,0,-1
43.83333333,-8.833333333,-28.41011859,-17.75,4.263374415,13.48662558,-0.267211515,0.278003633,1,0,-1
-6.833333333,-22.66666667,-6.830897765,-3.75,2.092398517,1.657601483,0.747730988,0.31825641,1,0,-1
13.5,-19.5,-77.57764654,6.5,3.297030609,-9.797030609,-1.033995558,0.308847986,1,0,-1
31.83333333,-9.833333333,-11.84198723,-4.5,2.159351058,2.340648942,-0.649512055,0.304932882,1,1,-1
-30.66666667,-6.333333333,-15.63911482,-8.5,4.428092442,4.071907558,-0.687871391,0.196786026,1,0,-1
-224.1666667,48.66666667,53.12621413,-11,3.706791967,7.293208033,-0.578645253,0.615747707,-1,-1,-1
-35.33333333,-11.66666667,-16.9928041,-4,-0.115517338,4.115517338,-0.465854169,0.366501757,1,0,-1
9.833333333,-7.333333333,-21.39627019,-16.75,6.397412244,10.35258776,-0.91642758,0.346210404,1,0,-1
43.83333333,-19.83333333,-3.63028577,-6,4.122844296,1.877155704,-0.852223383,0.351998731,1,1,-1
23.33333333,-3.333333333,95.3991539,13.5,-2.114981908,-11.38501809,0.309549028,0.656397332,-1,0,-1
-56,59,-12.25436992,-10,1.905374781,8.094625219,-0.973711588,0.329718916,1,-1,-1
-86.16666667,85.16666667,111.4110181,-39.75,0.902992976,38.84700702,-1.291676588,0.478263305,0,0,-1
-16.66666667,6.166666667,21.87846254,-2.5,2.173187253,0.326812747,0.299736414,0.51941006,0,0,-1
12,-13.5,29.46361202,0.25,6.706854759,-6.956854759,-0.006610537,0.613641374,-1,1,-1
